0	2649373	pseudo-autosomal
2649374	2917723	X-degenenrate
2917724	6102644	X-transposed
6102645	6400507	ampliconic
6400508	6616338	X-transposed
6616339	7472224	X-degenenrate
7472225	9967983	ampliconic
9967984	10034804	others
10034805	13870015	heterochromatic
13870016	14071702	others
14071703	16095786	X-degenenrate
16095787	16170059	ampliconic
16170060	17986473	X-degenenrate
17986474	18016662	ampliconic
18016663	18271273	X-degenenrate
18271274	18537442	ampliconic
18537443	19567356	X-degenenrate
19567357	21031900	ampliconic
21031901	22216158	X-degenenrate
22216159	22512749	heterochromatic
22512750	23497632	X-degenenrate
23497633	28809633	ampliconic
28809634	29224634	others
29224635	56887902	heterochromatic
56887903	57217415	pseudo-autosomal

